Info3	hippocampus	kidney	spleen	liver	striatum	cerebellum	cortex	all
LOC314721	371.4127913441	198.8899993896	468.3000030518	202.3293369719	546.8112324911	2535.7467856846	316.060260002	322.3401265768
null	225.5598447138	148.3450012207	379.6049957275	296.8635316	588.5133586809	475.867410213	250.8600538418	272.8417145229
Ostf1	9407.2226724958	22581.60546875	71125.333984375	13539.2180149166	6194.2697395807	6024.8539873547	6846.3129884926	7652.2516745221
Sult2b1_predicted	1060.3681806076	4925.4750976563	289.4050140381	351.6298975693	1246.4921641957	417.7315817181	1146.9941457898	915.4193176679
LOC307347	549.6195209465	214.0300064087	399.8349914551	351.1358604397	692.2294205769	538.8832125485	391.2455903186	414.6046772121
LOC500243	305.3025164406	299.5599899292	150.064994812	417.9445637836	808.7778538245	496.8475669666	311.71768466	335.9250632409
Hyal2	1778.6075516573	321.1800079346	392.1350021362	1188.7125495645	1521.4811111562	1921.3782642685	1560.8183597154	1554.777409768
LOC311345	2277.4130797572	4957.2700195313	3844.2849121094	3317.568496202	2351.2083125666	3899.4511688784	3067.9337899318	3077.029114131
RGD1309084_predicted	5895.8791574969	3301.2600097656	5086.9899902344	4117.5940580562	4023.68211604	7859.3106907403	5200.1365511481	5109.2183178424
Zfp96	1956.879346099	356.4900054932	992.4949951172	1302.4959845814	980.1829384559	1380.6699329001	1460.5852204094	1338.977127282
null	195.6122373729	301.7150039673	240.185005188	273.2655004136	257.3065659246	217.5412708644	231.4542723946	228.5020357395
RGD1310770_predicted	3018.7213766185	3274.2799072266	289.4900054932	300.8291837697	1243.4187966119	1073.4254350828	2103.4283273434	2084.2701732407
null	195.7365857698	148.5950012207	190.3600006104	155.8043162475	357.0947497653	467.1844093247	209.6985938786	227.6677509514
RGD1305158_predicted	6635.3439175904	6448.044921875	6585.6999511719	6145.4687999883	4986.5296792557	8712.261305009	6964.4990279777	6705.7913199996
Abi2|LOC301448	26132.6243374565	1826.0200195313	1718.0150146484	205.8844615739	17129.4012471054	9956.2988730598	24810.4096667085	19359.2496120418
RGD1308147	8738.9432108598	3578.9599609375	2613.700012207	7706.1733653326	6950.9391859727	8491.8706743806	9667.2765676588	8687.1096281835
null	278.3469099373	727.9149780273	7061.9898681641	866.6938237617	423.2707678902	977.8134673716	388.9148530561	524.2674722049
LOC293632	328.3605285325	216.0999908447	229.4600067139	234.0486848942	280.2103392453	206.5045118021	285.0582967688	257.1440758322
Dncic2	16529.3935106715	3606.5101318359	6873.0601806641	3893.859792114	13410.1342178568	16607.4841581108	15544.6693875081	14944.8060839079
Samd7_predicted	125.1520157554	461.8849868774	165.0299987793	171.3601245487	160.2688281844	235.3038886899	204.5854070097	173.3581984294
null	180.1978885024	179.5999984741	172.6200027466	179.7357198556	298.1456215834	190.2883257547	283.2464922507	222.6674011318
null	219.2518965084	522.5399932861	286.6350097656	171.7272246766	270.4687384242	224.6572441319	276.5956062686	251.3085719604
Pfn1	26368.7410293717	21102.7607421875	104659.3125	26252.1722281796	8291.123318981	13260.2330356875	15823.8428550437	16094.0919719984
null	717.3879593309	407.8050003052	986.4149780273	478.637512366	682.5851940949	883.0537370956	935.6284881001	773.3182173499
LOC311956	879.7546385653	1349.2300109863	755.5350189209	855.4735158803	667.1971454697	941.0820121795	710.9953975369	746.7961690852
null	3145.2854767666	303.0299987793	367.6650009155	161.0504105108	3291.9044567298	5457.4374620036	5064.6084351398	3813.9800504538
Peci	7906.4842956812	20364.46484375	9997.8247070313	59973.8992649028	7714.6143252496	11030.2818108565	5871.9746956287	7925.6699388893
Dspp	165.8830096889	117.9199981689	237.1150054932	187.9680925793	244.8672423612	193.3028840725	261.7206267116	214.2793727513
Isg20	1110.9070490879	1866.7700195313	8911.2700195313	10011.5493607752	1153.1665004394	1692.3011460936	1085.1878226874	1300.8204282125
RGD1304968	10774.0349381713	3021.0949707031	2650.5549316406	1207.7777461262	7491.2999532879	12685.6972989967	10466.1108042344	9554.3287680883
Polr3h_predicted	239.6390820631	220.6849975586	126.7749977112	390.8944645173	238.7807185381	501.8142349531	384.7672037422	301.3217982802
Bin2	564.0821069792	139.4399986267	432.3899993896	269.1764546419	626.7169601729	232.7513690233	533.3210788618	428.6015280094
